segment_id,match_id,minutes_played,time_segment,match_state,player_dif,minutes_strength,teamA_fr_rag,teamB_fr_rag,teamA_xg,teamB_xg
174663,28055,5,1,0.0,0,1.0,0.17460344798613736,0.13734634704200122,0.0,0.79
174664,28055,9,1,-0.5,0,1.0,0.31428620637504723,0.24722342467560215,0.0,0.58
174665,28055,1,1,-1.5,0,1.0,0.034920689597227474,0.02746926940840024,0.0,0.0
174666,28055,4,2,-1.5,0,1.0,0.1396827583889099,0.10987707763360097,0.55,0.0
174667,28055,11,2,-0.5,0,1.0,0.3841275855695022,0.30216196349240265,0.46,0.0
174668,28055,2,3,-0.5,0,1.0,0.06984137919445495,0.05493853881680048,0.05,0.0
174669,28055,2,3,0.0,0,1.0,0.06984137919445495,0.05493853881680048,0.27,0.0
174670,28055,11,3,0.5,0,1.0,0.3841275855695022,0.30216196349240265,0.88,0.0
174671,28055,1,4,1.5,0,1.0,0.034920689597227474,0.02746926940840024,0.0,0.0
174672,28055,11,4,1.5,0,1.0,0.3818433468860668,0.34185795313957784,0.37,0.03
174673,28055,3,4,1.5,0,1.0,0.10398862318059367,0.09281914590302628,0.0,0.0
174674,28055,10,5,1.5,0,1.0,0.3466287439353122,0.3093971530100876,0.08,0.62
174675,28055,5,5,0.5,0,1.0,0.1733143719676561,0.1546985765050438,0.73,0.05
174676,28055,2,6,0.5,0,1.0,0.06932574878706244,0.06187943060201752,0.0,0.0
174677,28055,1,6,0.5,0,1.0,0.032483071222975744,0.03125232163652712,0.0,0.0
174678,28055,6,6,0.5,0,1.0,0.17608291359351882,0.19694315715642816,0.28,0.0
174679,28055,4,6,0.5,0,0.990182,0.11205094727622786,0.12751739716375915,0.04,0.01
174680,28055,1,6,0.5,0,0.944727,0.028611244647248756,0.03475463274471499,0.0,0.49
174681,28055,9,6,0.5,0,0.944727,0.26795890117671034,0.2917056077761724,0.56,0.17
